company,role,skills,branch,location,min_cgpa,apply_link,logo
Google,AI Research Intern,"Cloud, Python",IT,Chennai,8.03,https://careers.google.com/apply/0,https://logo.clearbit.com/google.com
Capgemini,ML Engineer Intern,"NLP, C++",ECE,Chennai,6.08,https://careers.capgemini.com/apply/1,https://logo.clearbit.com/capgemini.com
Adobe,Data Analyst Intern,"Python, SQL",Mechanical,Pune,6.46,https://careers.adobe.com/apply/2,https://logo.clearbit.com/adobe.com
TCS,Graduate Engineer Trainee,"Networking, React, Cloud, Java",Mechanical,Bangalore,8.99,https://careers.tcs.com/apply/3,https://logo.clearbit.com/tcs.com
Flipkart,Frontend Developer Intern,"React, Cloud",ECE,Chennai,6.65,https://careers.flipkart.com/apply/4,https://logo.clearbit.com/flipkart.com
Infosys,Frontend Developer Intern,"Python, Deep Learning",ECE,Delhi,6.26,https://careers.infosys.com/apply/5,https://logo.clearbit.com/infosys.com
Infosys,Graduate Engineer Trainee,"Linux, Docker, React",CSE,Chennai,6.91,https://careers.infosys.com/apply/6,https://logo.clearbit.com/infosys.com
Capgemini,Backend Developer Intern,"Python, SQL",CSE,Delhi,6.45,https://careers.capgemini.com/apply/7,https://logo.clearbit.com/capgemini.com
Amazon,System Engineer,"Data Structures, React, Node.js, Algorithms",CSE,Remote,7.68,https://careers.amazon.com/apply/8,https://logo.clearbit.com/amazon.com
Flipkart,Data Analyst Intern,"Node.js, Cloud, Data Structures",CSE,Pune,7.38,https://careers.flipkart.com/apply/9,https://logo.clearbit.com/flipkart.com
Google,Data Scientist Intern,"Algorithms, Deep Learning, C++",CSE,Delhi,8.11,https://careers.google.com/apply/10,https://logo.clearbit.com/google.com
Google,Software Engineer Intern,"SQL, Statistics",ECE,Hyderabad,7.74,https://careers.google.com/apply/11,https://logo.clearbit.com/google.com
Infosys,Data Analyst Intern,"Node.js, Data Structures, NLP",ECE,Pune,7.8,https://careers.infosys.com/apply/12,https://logo.clearbit.com/infosys.com
Amazon,Data Scientist Intern,"Data Structures, SQL, NLP, Python",CSE,Pune,7.83,https://careers.amazon.com/apply/13,https://logo.clearbit.com/amazon.com
Zomato,Backend Developer Intern,"React, Python",CSE,Bangalore,6.43,https://careers.zomato.com/apply/14,https://logo.clearbit.com/zomato.com
Deloitte,Backend Developer Intern,"SQL, Cloud, NLP",Mechanical,Bangalore,6.27,https://careers.deloitte.com/apply/15,https://logo.clearbit.com/deloitte.com
Cisco,Backend Developer Intern,"Cloud, Docker, Data Structures",CSE,Bangalore,7.04,https://careers.cisco.com/apply/16,https://logo.clearbit.com/cisco.com
Deloitte,Software Engineer Intern,"Machine Learning, Linux",IT,Bangalore,8.3,https://careers.deloitte.com/apply/17,https://logo.clearbit.com/deloitte.com
Paytm,System Engineer,"SQL, Node.js",Mechanical,Mumbai,7.54,https://careers.paytm.com/apply/18,https://logo.clearbit.com/paytm.com
Accenture,Software Developer,"Statistics, Machine Learning, C++, Java",Mechanical,Bangalore,7.21,https://careers.accenture.com/apply/19,https://logo.clearbit.com/accenture.com
Paytm,ML Engineer Intern,"Networking, Java, Statistics, Cloud",IT,Pune,8.89,https://careers.paytm.com/apply/20,https://logo.clearbit.com/paytm.com
Zomato,ML Engineer Intern,"React, Docker",CSE,Pune,7.24,https://careers.zomato.com/apply/21,https://logo.clearbit.com/zomato.com
Wipro,System Engineer,"React, Docker, Statistics, Deep Learning",Mechanical,Remote,8.47,https://careers.wipro.com/apply/22,https://logo.clearbit.com/wipro.com
Accenture,Data Analyst Intern,"Python, Node.js, SQL, Machine Learning",IT,Delhi,7.22,https://careers.accenture.com/apply/23,https://logo.clearbit.com/accenture.com
TCS,AI Research Intern,"Data Structures, Python, C++",CSE,Pune,8.49,https://careers.tcs.com/apply/24,https://logo.clearbit.com/tcs.com
Accenture,Data Scientist Intern,"Data Structures, Algorithms",Mechanical,Chennai,6.62,https://careers.accenture.com/apply/25,https://logo.clearbit.com/accenture.com
Amazon,Backend Developer Intern,"Linux, Docker, Java, Machine Learning",IT,Bangalore,7.97,https://careers.amazon.com/apply/26,https://logo.clearbit.com/amazon.com
Uber,Data Scientist Intern,"Cloud, Networking, NLP",Mechanical,Hyderabad,6.77,https://careers.uber.com/apply/27,https://logo.clearbit.com/uber.com
Amazon,Software Developer,"Algorithms, Python",ECE,Remote,7.35,https://careers.amazon.com/apply/28,https://logo.clearbit.com/amazon.com
Samsung,Software Developer,"Machine Learning, SQL, NLP, Java",CSE,Delhi,6.65,https://careers.samsung.com/apply/29,https://logo.clearbit.com/samsung.com
Zomato,Data Analyst Intern,"Java, C++",ECE,Chennai,7.24,https://careers.zomato.com/apply/30,https://logo.clearbit.com/zomato.com
Google,Software Engineer Intern,"Machine Learning, Data Structures, Java, React",IT,Mumbai,7.01,https://careers.google.com/apply/31,https://logo.clearbit.com/google.com
Accenture,Data Analyst Intern,"Machine Learning, Python, SQL, Networking",ECE,Pune,6.87,https://careers.accenture.com/apply/32,https://logo.clearbit.com/accenture.com
Uber,System Engineer,"Statistics, SQL, Docker, NLP",Mechanical,Bangalore,8.93,https://careers.uber.com/apply/33,https://logo.clearbit.com/uber.com
Microsoft,Software Engineer Intern,"Node.js, Algorithms, SQL, Linux",CSE,Pune,7.5,https://careers.microsoft.com/apply/34,https://logo.clearbit.com/microsoft.com
IBM,Data Analyst Intern,"NLP, Machine Learning",CSE,Bangalore,8.22,https://careers.ibm.com/apply/35,https://logo.clearbit.com/ibm.com
Google,Data Scientist Intern,"Python, Linux, SQL",IT,Chennai,8.96,https://careers.google.com/apply/36,https://logo.clearbit.com/google.com
Uber,Graduate Engineer Trainee,"Data Structures, Linux, Machine Learning",CSE,Pune,8.42,https://careers.uber.com/apply/37,https://logo.clearbit.com/uber.com
Adobe,Frontend Developer Intern,"Data Structures, Algorithms",Mechanical,Mumbai,8.47,https://careers.adobe.com/apply/38,https://logo.clearbit.com/adobe.com
Google,Frontend Developer Intern,"Algorithms, Cloud, Deep Learning, Python",CSE,Hyderabad,8.57,https://careers.google.com/apply/39,https://logo.clearbit.com/google.com
Samsung,Software Developer,"Docker, C++, Linux",Mechanical,Pune,8.68,https://careers.samsung.com/apply/40,https://logo.clearbit.com/samsung.com
Flipkart,Software Developer,"C++, Node.js, Networking",ECE,Remote,7.19,https://careers.flipkart.com/apply/41,https://logo.clearbit.com/flipkart.com
Oracle,System Engineer,"Linux, Machine Learning, Algorithms",Mechanical,Remote,8.12,https://careers.oracle.com/apply/42,https://logo.clearbit.com/oracle.com
Accenture,Software Developer,"Data Structures, Machine Learning",IT,Delhi,6.3,https://careers.accenture.com/apply/43,https://logo.clearbit.com/accenture.com
Oracle,Graduate Engineer Trainee,"Java, Cloud, C++",Mechanical,Bangalore,6.08,https://careers.oracle.com/apply/44,https://logo.clearbit.com/oracle.com
Adobe,AI Research Intern,"Linux, C++, Cloud, Java",IT,Hyderabad,8.49,https://careers.adobe.com/apply/45,https://logo.clearbit.com/adobe.com
Accenture,Frontend Developer Intern,"Cloud, Python, Java",IT,Delhi,8.5,https://careers.accenture.com/apply/46,https://logo.clearbit.com/accenture.com
Nvidia,Software Developer,"Machine Learning, C++",CSE,Delhi,7.38,https://careers.nvidia.com/apply/47,https://logo.clearbit.com/nvidia.com
Microsoft,Graduate Engineer Trainee,"Cloud, SQL, Data Structures",Mechanical,Bangalore,7.77,https://careers.microsoft.com/apply/48,https://logo.clearbit.com/microsoft.com
Accenture,Frontend Developer Intern,"Node.js, Linux",CSE,Pune,7.96,https://careers.accenture.com/apply/49,https://logo.clearbit.com/accenture.com
Oracle,Software Developer,"Linux, Java, SQL",ECE,Bangalore,6.83,https://careers.oracle.com/apply/50,https://logo.clearbit.com/oracle.com
Samsung,Graduate Engineer Trainee,"NLP, Networking, Docker, Statistics",Mechanical,Delhi,8.38,https://careers.samsung.com/apply/51,https://logo.clearbit.com/samsung.com
IBM,Software Engineer Intern,"Node.js, SQL, Python",CSE,Hyderabad,6.81,https://careers.ibm.com/apply/52,https://logo.clearbit.com/ibm.com
Uber,Software Developer,"Linux, Python, Statistics",ECE,Chennai,7.25,https://careers.uber.com/apply/53,https://logo.clearbit.com/uber.com
Uber,Software Developer,"Node.js, C++, Java, SQL",IT,Mumbai,8.65,https://careers.uber.com/apply/54,https://logo.clearbit.com/uber.com
IBM,Software Developer,"Networking, Deep Learning",IT,Hyderabad,8.84,https://careers.ibm.com/apply/55,https://logo.clearbit.com/ibm.com
Wipro,Data Analyst Intern,"Deep Learning, Python",CSE,Hyderabad,8.08,https://careers.wipro.com/apply/56,https://logo.clearbit.com/wipro.com
Deloitte,Data Scientist Intern,"NLP, Node.js, React",IT,Remote,8.49,https://careers.deloitte.com/apply/57,https://logo.clearbit.com/deloitte.com
Oracle,Graduate Engineer Trainee,"Networking, NLP",Mechanical,Hyderabad,7.36,https://careers.oracle.com/apply/58,https://logo.clearbit.com/oracle.com
Adobe,Software Engineer Intern,"Cloud, NLP, Deep Learning",IT,Mumbai,7.31,https://careers.adobe.com/apply/59,https://logo.clearbit.com/adobe.com
Nvidia,Frontend Developer Intern,"Data Structures, Statistics, SQL",CSE,Chennai,8.72,https://careers.nvidia.com/apply/60,https://logo.clearbit.com/nvidia.com
Amazon,Frontend Developer Intern,"Docker, C++, Deep Learning, Machine Learning",Mechanical,Chennai,7.17,https://careers.amazon.com/apply/61,https://logo.clearbit.com/amazon.com
Uber,Backend Developer Intern,"Python, Linux, Cloud, React",ECE,Remote,7.3,https://careers.uber.com/apply/62,https://logo.clearbit.com/uber.com
Paytm,Data Scientist Intern,"Algorithms, Java",ECE,Delhi,6.39,https://careers.paytm.com/apply/63,https://logo.clearbit.com/paytm.com
Accenture,Graduate Engineer Trainee,"Networking, NLP",ECE,Pune,8.56,https://careers.accenture.com/apply/64,https://logo.clearbit.com/accenture.com
Cisco,Backend Developer Intern,"Data Structures, NLP, C++, SQL",CSE,Hyderabad,6.71,https://careers.cisco.com/apply/65,https://logo.clearbit.com/cisco.com
Flipkart,Backend Developer Intern,"NLP, Data Structures",ECE,Pune,6.65,https://careers.flipkart.com/apply/66,https://logo.clearbit.com/flipkart.com
Deloitte,Software Engineer Intern,"Algorithms, C++, Linux, Data Structures",ECE,Chennai,7.17,https://careers.deloitte.com/apply/67,https://logo.clearbit.com/deloitte.com
Capgemini,Software Engineer Intern,"Data Structures, Networking, Python, Deep Learning",ECE,Pune,6.07,https://careers.capgemini.com/apply/68,https://logo.clearbit.com/capgemini.com
IBM,Data Scientist Intern,"React, Data Structures, Java",CSE,Bangalore,7.14,https://careers.ibm.com/apply/69,https://logo.clearbit.com/ibm.com
Adobe,Software Engineer Intern,"Algorithms, C++, React, Cloud",CSE,Hyderabad,8.22,https://careers.adobe.com/apply/70,https://logo.clearbit.com/adobe.com
Accenture,Software Developer,"Networking, Python, Algorithms",IT,Mumbai,7.52,https://careers.accenture.com/apply/71,https://logo.clearbit.com/accenture.com
TCS,Graduate Engineer Trainee,"C++, Deep Learning, Node.js, Linux",ECE,Hyderabad,7.81,https://careers.tcs.com/apply/72,https://logo.clearbit.com/tcs.com
Google,Data Analyst Intern,"NLP, Python, Linux, Algorithms",ECE,Hyderabad,8.86,https://careers.google.com/apply/73,https://logo.clearbit.com/google.com
Paytm,Backend Developer Intern,"NLP, SQL, Docker",Mechanical,Remote,8.65,https://careers.paytm.com/apply/74,https://logo.clearbit.com/paytm.com
Capgemini,Software Developer,"Deep Learning, Java, Networking, Cloud",ECE,Pune,7.68,https://careers.capgemini.com/apply/75,https://logo.clearbit.com/capgemini.com
Cisco,Data Scientist Intern,"Node.js, Java, React",CSE,Bangalore,7.74,https://careers.cisco.com/apply/76,https://logo.clearbit.com/cisco.com
Flipkart,System Engineer,"Python, Java, Docker",IT,Hyderabad,8.33,https://careers.flipkart.com/apply/77,https://logo.clearbit.com/flipkart.com
Intel,Graduate Engineer Trainee,"Java, Deep Learning, Docker",CSE,Delhi,7.25,https://careers.intel.com/apply/78,https://logo.clearbit.com/intel.com
Paytm,Frontend Developer Intern,"Statistics, Docker, Python, SQL",Mechanical,Pune,6.49,https://careers.paytm.com/apply/79,https://logo.clearbit.com/paytm.com
Intel,Software Developer,"Deep Learning, Networking",IT,Hyderabad,7.65,https://careers.intel.com/apply/80,https://logo.clearbit.com/intel.com
Wipro,Graduate Engineer Trainee,"Docker, Node.js",ECE,Delhi,6.64,https://careers.wipro.com/apply/81,https://logo.clearbit.com/wipro.com
TCS,Backend Developer Intern,"Docker, Networking",ECE,Bangalore,7.58,https://careers.tcs.com/apply/82,https://logo.clearbit.com/tcs.com
Deloitte,Graduate Engineer Trainee,"Python, NLP, Machine Learning, C++",Mechanical,Chennai,7.28,https://careers.deloitte.com/apply/83,https://logo.clearbit.com/deloitte.com
Google,Data Scientist Intern,"Statistics, Data Structures, Java, NLP",CSE,Remote,7.76,https://careers.google.com/apply/84,https://logo.clearbit.com/google.com
Deloitte,Backend Developer Intern,"Docker, C++",IT,Remote,8.34,https://careers.deloitte.com/apply/85,https://logo.clearbit.com/deloitte.com
Google,System Engineer,"Python, Cloud, C++",Mechanical,Remote,8.28,https://careers.google.com/apply/86,https://logo.clearbit.com/google.com
Samsung,Data Scientist Intern,"Cloud, Algorithms, React, Python",Mechanical,Bangalore,8.73,https://careers.samsung.com/apply/87,https://logo.clearbit.com/samsung.com
Uber,Frontend Developer Intern,"Cloud, Machine Learning",ECE,Chennai,6.69,https://careers.uber.com/apply/88,https://logo.clearbit.com/uber.com
Capgemini,Backend Developer Intern,"Docker, Algorithms, Machine Learning",Mechanical,Pune,7.59,https://careers.capgemini.com/apply/89,https://logo.clearbit.com/capgemini.com
Microsoft,AI Research Intern,"Statistics, Java",IT,Mumbai,8.79,https://careers.microsoft.com/apply/90,https://logo.clearbit.com/microsoft.com
Accenture,ML Engineer Intern,"Python, Linux, Statistics, Data Structures",IT,Remote,7.48,https://careers.accenture.com/apply/91,https://logo.clearbit.com/accenture.com
TCS,Data Analyst Intern,"C++, Algorithms",Mechanical,Bangalore,6.79,https://careers.tcs.com/apply/92,https://logo.clearbit.com/tcs.com
Nvidia,Frontend Developer Intern,"React, Python, Java",CSE,Delhi,6.84,https://careers.nvidia.com/apply/93,https://logo.clearbit.com/nvidia.com
Deloitte,Graduate Engineer Trainee,"Algorithms, Machine Learning, NLP, Node.js",IT,Bangalore,7.79,https://careers.deloitte.com/apply/94,https://logo.clearbit.com/deloitte.com
TCS,Software Engineer Intern,"Data Structures, Machine Learning, React, Deep Learning",Mechanical,Delhi,8.54,https://careers.tcs.com/apply/95,https://logo.clearbit.com/tcs.com
Google,Backend Developer Intern,"C++, Data Structures",ECE,Chennai,7.22,https://careers.google.com/apply/96,https://logo.clearbit.com/google.com
Zomato,Backend Developer Intern,"Docker, React, Deep Learning",ECE,Remote,6.09,https://careers.zomato.com/apply/97,https://logo.clearbit.com/zomato.com
Zomato,AI Research Intern,"Java, Machine Learning",IT,Delhi,8.24,https://careers.zomato.com/apply/98,https://logo.clearbit.com/zomato.com
Wipro,AI Research Intern,"Algorithms, Docker, Deep Learning",Mechanical,Mumbai,7.46,https://careers.wipro.com/apply/99,https://logo.clearbit.com/wipro.com
Intel,Data Analyst Intern,"Cloud, Machine Learning",Mechanical,Delhi,8.27,https://careers.intel.com/apply/100,https://logo.clearbit.com/intel.com
Microsoft,AI Research Intern,"NLP, Data Structures, SQL",Mechanical,Pune,6.6,https://careers.microsoft.com/apply/101,https://logo.clearbit.com/microsoft.com
Infosys,Data Scientist Intern,"Data Structures, Node.js",ECE,Chennai,8.85,https://careers.infosys.com/apply/102,https://logo.clearbit.com/infosys.com
Adobe,Software Developer,"Deep Learning, Machine Learning",ECE,Bangalore,8.56,https://careers.adobe.com/apply/103,https://logo.clearbit.com/adobe.com
Accenture,Data Analyst Intern,"Networking, Data Structures",Mechanical,Chennai,8.52,https://careers.accenture.com/apply/104,https://logo.clearbit.com/accenture.com
Accenture,Backend Developer Intern,"Machine Learning, Networking, Linux, Java",CSE,Bangalore,8.82,https://careers.accenture.com/apply/105,https://logo.clearbit.com/accenture.com
Uber,Backend Developer Intern,"NLP, Python",Mechanical,Pune,8.83,https://careers.uber.com/apply/106,https://logo.clearbit.com/uber.com
Amazon,AI Research Intern,"Node.js, SQL",Mechanical,Bangalore,6.43,https://careers.amazon.com/apply/107,https://logo.clearbit.com/amazon.com
Nvidia,AI Research Intern,"Algorithms, Statistics, React",ECE,Delhi,8.17,https://careers.nvidia.com/apply/108,https://logo.clearbit.com/nvidia.com
TCS,Frontend Developer Intern,"SQL, Deep Learning, Cloud",IT,Pune,8.62,https://careers.tcs.com/apply/109,https://logo.clearbit.com/tcs.com
Cisco,Data Scientist Intern,"Networking, Data Structures, Cloud",CSE,Hyderabad,7.07,https://careers.cisco.com/apply/110,https://logo.clearbit.com/cisco.com
Cisco,ML Engineer Intern,"Java, Cloud, SQL",IT,Hyderabad,8.94,https://careers.cisco.com/apply/111,https://logo.clearbit.com/cisco.com
Accenture,Backend Developer Intern,"Networking, NLP, Machine Learning",Mechanical,Chennai,7.27,https://careers.accenture.com/apply/112,https://logo.clearbit.com/accenture.com
Accenture,System Engineer,"Machine Learning, Docker, Networking, C++",ECE,Remote,8.01,https://careers.accenture.com/apply/113,https://logo.clearbit.com/accenture.com
Capgemini,Backend Developer Intern,"SQL, Cloud, Machine Learning, Node.js",IT,Hyderabad,7.76,https://careers.capgemini.com/apply/114,https://logo.clearbit.com/capgemini.com
Accenture,Software Developer,"Algorithms, Statistics, Python, React",Mechanical,Bangalore,8.11,https://careers.accenture.com/apply/115,https://logo.clearbit.com/accenture.com
Cisco,Graduate Engineer Trainee,"SQL, Algorithms, C++",ECE,Bangalore,7.79,https://careers.cisco.com/apply/116,https://logo.clearbit.com/cisco.com
Cisco,System Engineer,"Node.js, Python, Java, Docker",Mechanical,Bangalore,7.57,https://careers.cisco.com/apply/117,https://logo.clearbit.com/cisco.com
Google,Data Scientist Intern,"Docker, SQL, React",CSE,Pune,6.71,https://careers.google.com/apply/118,https://logo.clearbit.com/google.com
Nvidia,Graduate Engineer Trainee,"Networking, SQL, NLP, Deep Learning",ECE,Pune,8.45,https://careers.nvidia.com/apply/119,https://logo.clearbit.com/nvidia.com
Flipkart,Frontend Developer Intern,"Python, Deep Learning, NLP",IT,Bangalore,6.31,https://careers.flipkart.com/apply/120,https://logo.clearbit.com/flipkart.com
Amazon,Software Developer,"Linux, Node.js",IT,Mumbai,8.38,https://careers.amazon.com/apply/121,https://logo.clearbit.com/amazon.com
Google,ML Engineer Intern,"Python, Machine Learning, Networking",Mechanical,Chennai,6.37,https://careers.google.com/apply/122,https://logo.clearbit.com/google.com
Paytm,Graduate Engineer Trainee,"Node.js, NLP, Statistics, Python",CSE,Bangalore,6.92,https://careers.paytm.com/apply/123,https://logo.clearbit.com/paytm.com
Deloitte,System Engineer,"Docker, Node.js, Java",Mechanical,Chennai,8.34,https://careers.deloitte.com/apply/124,https://logo.clearbit.com/deloitte.com
Deloitte,Data Scientist Intern,"C++, Java, Algorithms, Deep Learning",ECE,Remote,8.43,https://careers.deloitte.com/apply/125,https://logo.clearbit.com/deloitte.com
Oracle,Software Engineer Intern,"Cloud, Docker, Statistics, Machine Learning",Mechanical,Delhi,8.7,https://careers.oracle.com/apply/126,https://logo.clearbit.com/oracle.com
Samsung,System Engineer,"Deep Learning, SQL, Data Structures, C++",Mechanical,Hyderabad,7.45,https://careers.samsung.com/apply/127,https://logo.clearbit.com/samsung.com
Samsung,ML Engineer Intern,"Machine Learning, React",Mechanical,Mumbai,7.12,https://careers.samsung.com/apply/128,https://logo.clearbit.com/samsung.com
Wipro,ML Engineer Intern,"Algorithms, Machine Learning",ECE,Bangalore,8.82,https://careers.wipro.com/apply/129,https://logo.clearbit.com/wipro.com
Adobe,Graduate Engineer Trainee,"SQL, Cloud",Mechanical,Mumbai,6.95,https://careers.adobe.com/apply/130,https://logo.clearbit.com/adobe.com
Paytm,Frontend Developer Intern,"Algorithms, C++, Docker, Linux",Mechanical,Remote,7.43,https://careers.paytm.com/apply/131,https://logo.clearbit.com/paytm.com
Oracle,System Engineer,"Machine Learning, Deep Learning",CSE,Mumbai,7.51,https://careers.oracle.com/apply/132,https://logo.clearbit.com/oracle.com
Adobe,System Engineer,"Python, Cloud",ECE,Mumbai,6.06,https://careers.adobe.com/apply/133,https://logo.clearbit.com/adobe.com
Zomato,AI Research Intern,"C++, Networking, Deep Learning",Mechanical,Pune,7.16,https://careers.zomato.com/apply/134,https://logo.clearbit.com/zomato.com
Wipro,Data Scientist Intern,"C++, Algorithms",IT,Delhi,7.25,https://careers.wipro.com/apply/135,https://logo.clearbit.com/wipro.com
Wipro,Data Scientist Intern,"Deep Learning, Machine Learning",Mechanical,Bangalore,6.24,https://careers.wipro.com/apply/136,https://logo.clearbit.com/wipro.com
Flipkart,Backend Developer Intern,"Docker, Data Structures, React, Python",IT,Mumbai,6.56,https://careers.flipkart.com/apply/137,https://logo.clearbit.com/flipkart.com
Flipkart,Backend Developer Intern,"Node.js, Data Structures, React",CSE,Mumbai,8.73,https://careers.flipkart.com/apply/138,https://logo.clearbit.com/flipkart.com
Deloitte,Software Engineer Intern,"Statistics, Algorithms, NLP",CSE,Delhi,7.6,https://careers.deloitte.com/apply/139,https://logo.clearbit.com/deloitte.com
Uber,Data Analyst Intern,"Algorithms, Networking",ECE,Mumbai,6.57,https://careers.uber.com/apply/140,https://logo.clearbit.com/uber.com
Amazon,Graduate Engineer Trainee,"SQL, Linux, Data Structures",CSE,Mumbai,6.93,https://careers.amazon.com/apply/141,https://logo.clearbit.com/amazon.com
Google,Software Developer,"React, C++, Networking",CSE,Bangalore,8.36,https://careers.google.com/apply/142,https://logo.clearbit.com/google.com
Cisco,Frontend Developer Intern,"NLP, Linux, Statistics, Node.js",CSE,Delhi,6.15,https://careers.cisco.com/apply/143,https://logo.clearbit.com/cisco.com
Microsoft,Graduate Engineer Trainee,"Node.js, NLP, Data Structures",ECE,Bangalore,6.91,https://careers.microsoft.com/apply/144,https://logo.clearbit.com/microsoft.com
Uber,ML Engineer Intern,"Docker, Algorithms, Networking",ECE,Remote,6.53,https://careers.uber.com/apply/145,https://logo.clearbit.com/uber.com
Microsoft,Frontend Developer Intern,"Networking, Machine Learning, Algorithms",ECE,Chennai,7.15,https://careers.microsoft.com/apply/146,https://logo.clearbit.com/microsoft.com
Cisco,Graduate Engineer Trainee,"Statistics, Node.js, Networking",ECE,Mumbai,7.28,https://careers.cisco.com/apply/147,https://logo.clearbit.com/cisco.com
Accenture,Software Engineer Intern,"Cloud, Deep Learning, Java, C++",CSE,Chennai,8.36,https://careers.accenture.com/apply/148,https://logo.clearbit.com/accenture.com
Deloitte,Frontend Developer Intern,"Linux, Machine Learning, SQL, Docker",Mechanical,Chennai,6.18,https://careers.deloitte.com/apply/149,https://logo.clearbit.com/deloitte.com
Infosys,Software Developer,"Docker, SQL, Java, Deep Learning",IT,Delhi,8.27,https://careers.infosys.com/apply/150,https://logo.clearbit.com/infosys.com
IBM,ML Engineer Intern,"SQL, Python",CSE,Delhi,8.18,https://careers.ibm.com/apply/151,https://logo.clearbit.com/ibm.com
Samsung,Frontend Developer Intern,"Algorithms, NLP",ECE,Mumbai,7.14,https://careers.samsung.com/apply/152,https://logo.clearbit.com/samsung.com
Accenture,Graduate Engineer Trainee,"Java, React, SQL, Machine Learning",Mechanical,Remote,8.29,https://careers.accenture.com/apply/153,https://logo.clearbit.com/accenture.com
Cisco,Data Analyst Intern,"C++, Statistics, React, Cloud",ECE,Remote,8.47,https://careers.cisco.com/apply/154,https://logo.clearbit.com/cisco.com
Flipkart,Graduate Engineer Trainee,"SQL, React, Deep Learning, Data Structures",ECE,Remote,6.43,https://careers.flipkart.com/apply/155,https://logo.clearbit.com/flipkart.com
Google,System Engineer,"NLP, React, Algorithms, C++",Mechanical,Mumbai,6.42,https://careers.google.com/apply/156,https://logo.clearbit.com/google.com
Deloitte,ML Engineer Intern,"Cloud, Docker, Networking, Java",ECE,Chennai,6.13,https://careers.deloitte.com/apply/157,https://logo.clearbit.com/deloitte.com
Google,Software Engineer Intern,"Machine Learning, C++",IT,Pune,7.64,https://careers.google.com/apply/158,https://logo.clearbit.com/google.com
Zomato,AI Research Intern,"Deep Learning, Statistics, Docker, Networking",IT,Delhi,7.84,https://careers.zomato.com/apply/159,https://logo.clearbit.com/zomato.com
TCS,Software Engineer Intern,"Machine Learning, Cloud, Statistics",Mechanical,Pune,7.82,https://careers.tcs.com/apply/160,https://logo.clearbit.com/tcs.com
Infosys,Graduate Engineer Trainee,"React, Docker, C++",IT,Chennai,7.3,https://careers.infosys.com/apply/161,https://logo.clearbit.com/infosys.com
Intel,System Engineer,"Docker, Data Structures, SQL, Python",ECE,Hyderabad,6.71,https://careers.intel.com/apply/162,https://logo.clearbit.com/intel.com
Accenture,AI Research Intern,"Machine Learning, C++",Mechanical,Chennai,7.33,https://careers.accenture.com/apply/163,https://logo.clearbit.com/accenture.com
Flipkart,Graduate Engineer Trainee,"Statistics, Node.js, Docker, Linux",IT,Mumbai,7.83,https://careers.flipkart.com/apply/164,https://logo.clearbit.com/flipkart.com
